2022-03-20 09:51:18	0	999
2022-03-20 09:54:08	1000	1999
2022-03-20 09:57:05	2000	2999
2022-03-20 10:00:15	3000	3999
2022-03-20 10:03:32	4000	4999
2022-03-20 10:07:00	5000	5999
2022-03-20 10:10:27	6000	6999
2022-03-20 10:15:06	7000	7999
2022-03-20 10:18:35	8000	8999
2022-03-20 10:23:06	9000	9999
2022-03-20 10:26:47	10000	10999
2022-03-20 10:30:24	11000	11999
2022-03-20 10:33:41	12000	12999
2022-03-20 10:38:02	13000	13999
2022-03-20 10:41:53	14000	14999
2022-03-20 10:45:33	15000	15999
2022-03-20 10:50:11	16000	16999
2022-03-20 10:53:46	17000	17999
2022-03-20 10:56:21	18000	18999
2022-03-20 10:59:30	19000	19999
2022-03-20 11:01:51	20000	20999
2022-03-20 11:03:40	21000	21999
2022-03-20 11:06:19	22000	22999
2022-03-20 11:09:19	23000	23999
2022-03-20 11:13:04	24000	24999
2022-03-20 11:15:52	25000	25999
2022-03-20 11:18:33	26000	26999
2022-03-20 11:21:37	27000	27999
2022-03-20 11:25:43	28000	28999
2022-03-20 11:29:16	29000	29999
2022-03-20 11:32:19	30000	30999
2022-03-20 11:58:42	31000	31999
2022-03-20 12:01:34	32000	32999
2022-03-20 12:03:21	33000	33999
2022-03-20 12:05:18	34000	34999
2022-03-20 12:08:21	35000	35999
2022-03-20 12:13:05	36000	36999
2022-03-20 12:17:05	37000	37999
2022-03-20 12:20:27	38000	38999
2022-03-20 12:24:28	39000	39999
2022-03-20 12:28:36	40000	40999
2022-03-20 12:33:10	41000	41999
2022-03-20 12:37:45	42000	42999
2022-03-20 12:44:01	43000	43999
2022-03-20 12:48:00	44000	44999
2022-03-20 12:50:37	45000	45999
2022-03-20 12:54:09	46000	46999
2022-03-20 12:57:44	47000	47999
2022-03-20 13:01:21	48000	48999
2022-03-20 13:04:33	49000	49999
2022-03-20 13:08:38	50000	50999
2022-03-20 13:13:41	51000	51999
2022-03-20 13:17:14	52000	52999
2022-03-20 13:20:48	53000	53999
2022-03-20 13:24:05	54000	54999
2022-03-20 13:27:01	55000	55999
2022-03-20 13:30:13	56000	56999
2022-03-20 13:32:52	57000	57999
2022-03-20 13:36:26	58000	58999
2022-03-20 13:39:58	59000	59999
2022-03-20 13:44:23	60000	60999
2022-03-20 13:47:44	61000	61999
2022-03-20 13:51:00	62000	62999
2022-03-20 13:54:02	63000	63999
2022-03-20 13:56:19	64000	64999
2022-03-20 13:58:57	65000	65999
2022-03-20 14:02:54	66000	66999
2022-03-20 14:51:35	67000	67999
2022-03-20 14:54:35	68000	68999
2022-03-20 14:56:03	69000	69999
2022-03-20 14:57:30	70000	70999
2022-03-20 14:59:04	71000	71999
2022-03-20 15:01:14	72000	72999
2022-03-20 15:05:14	73000	73999
2022-03-20 15:09:32	74000	74999
2022-03-20 15:13:16	75000	75999
2022-03-20 15:17:25	76000	76999
2022-03-20 15:20:45	77000	77999
2022-03-20 15:22:32	78000	78999
2022-03-20 15:26:21	79000	79999
2022-03-20 15:30:18	80000	80999
2022-03-20 15:35:12	81000	81999
2022-03-20 15:38:14	82000	82999
2022-03-20 15:42:42	83000	83999
2022-03-20 15:46:25	84000	84999
2022-03-20 15:50:04	85000	85999
2022-03-20 15:52:44	86000	86999
2022-03-20 15:55:29	87000	87999
2022-03-20 15:58:38	88000	88999
2022-03-20 16:02:01	89000	89999
2022-03-20 16:04:46	90000	90999
2022-03-20 16:07:30	91000	91999
2022-03-20 16:10:35	92000	92999
2022-03-20 16:13:55	93000	93999
2022-03-20 16:17:35	94000	94999
2022-03-20 16:21:39	95000	95999
2022-03-20 16:25:32	96000	96999
2022-03-20 16:30:38	97000	97999
2022-03-20 16:36:13	98000	98999
2022-03-20 16:39:43	99000	99999
